URL de Lote;Código;Ano Modelo;Marca;Modelo;Documento;Chassi;Categoria;Condição;Cond. de Funcionamento;Tipo de Monta;Tipo de Chassi;Comitente;Valor FIPE;Pátio Veículo;Data do Leilão;Pátio do Leilão;Lote;Grade/Linha;Lance atual;Meu Lance
https://www.copart.com.br/lotDetail/526618;526618;2017;CITROEN;C4 LOUNGE;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;B040-5;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/526639;526639;2010;YAMAHA;FAZER;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EB6-1;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/527435;527435;2012;MITSUBISHI;L200 TRITON;Aguardando Classificação;;Picapes Grandes;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;R 130;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/528184;528184;2010;HONDA;LEAD 110;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;MI1;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/529062;529062;2012;VOLKSWAGEN;VOYAGE;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;E24;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/529672;529672;;FIAT;UNO;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA6-03;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/529873;529873;2020;VOLKSWAGEN;DELIVERY;Aguardando Classificação;;Caminhões e Rebocadores;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;Caminhões;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/530480;530480;2014;HONDA;CB 300;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;Motos;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/530512;530512;2021;HYUNDAI;HB20;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;AE-15;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/531127;531127;1995;FIAT;TIPO;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;A050-4;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/531240;531240;2015;HONDA;CITY;Aguardando Classificação;;Automóveis;ROUBO/FURTO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EA17-3;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/531261;531261;2020;BMW;F 850;Aguardando Classificação;;Motos;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;MA2;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/531313;531313;2020;CHEVROLET;ONIX PLUS;Aguardando Classificação;;Automóveis;ROUBO/FURTO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EMBÚ DAS ARTES - SP;;Não Preenchido;0;EB4-6;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/531607;531607;2015;HONDA;CIVIC;Aguardando Classificação;;Automóveis;COLISÃO;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;BETIM - MG;;Não Preenchido;0;B030-6;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/531872;531872;2004;FORD;ECOSPORT;Aguardando Classificação;;SUV Pequenos;COLISÃO;Motor dá partida;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;AA 090;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/532187;532187;2018;CHEVROLET;PRISMA;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA11-07;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/532596;532596;2018;YAMAHA;YBR 150 FACTOR;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CANOAS - RS;;Não Preenchido;0;MOTO A;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/533342;533342;2020;CHEVROLET;S10 CABINE DUPLA;Aguardando Classificação;;Picapes Grandes;AVARIAS EM TRANSPORTE;Motor dá partida e engrena;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;R 140;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/533426;533426;2016;HONDA;CG 160;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;PIRAPORA - SP;;Não Preenchido;0;PA3-03;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/533530;533530;2010;HONDA;CG 150;Aguardando Classificação;;Motos;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;ITAQUAQUECETUBA - SP;;Não Preenchido;0;M 160;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/533597;533597;2011;SCANIA;R 420;Aguardando Classificação;;Caminhões e Rebocadores;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;CAMINHÃO C;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/533605;533605;2011;BMW;X1;Aguardando Classificação;;SUV Pequenos;ROUBO/FURTO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;B03;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/533867;533867;2013;FORD;FOCUS;Aguardando Classificação;;Automóveis;COLISÃO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;CURITIBA - PR;;Não Preenchido;0;J09;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/534324;534324;2005;YAMAHA;YBR 125;Aguardando Classificação;;Motos;FINANCIAMENTO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EUSÉBIO - CE;;Não Preenchido;0;M-09;0 BRL;0 BRL
https://www.copart.com.br/lotDetail/534325;534325;2006;YAMAHA;YBR 125;Aguardando Classificação;;Motos;FINANCIAMENTO;Desconhecido;Aguardando Classificação;Aguardando Classificação;;0 BRL;EUSÉBIO - CE;;Não Preenchido;0;M-10;0 BRL;0 BRL
